Iteration,Accuracy,MacroPrecision,MacroRecall,MacroF1,ArterialPrecision,PortalVenousPrecision,PreContrastPrecision,ArterialRecall,PortalVenousRecall,PreContrastRecall,ArterialF1,PortalVenousF1,PreContrastF1,WeightedPrecision,WeightedRecall,WeightedF1,BalancedAccuracy,CohensKappa,Phase1_Count,Phase1_Accuracy,Phase2_Count,Phase2_Accuracy,Phase3_Count,Phase3_Accuracy,AortaMultiplier,PortalVeinMultiplier,AortaCutoff,PortalVeinCutoff,BoundaryHits,TrainArterial,TrainPortalVenous,TrainPreContrast,TestArterial,TestPortalVenous,TestPreContrast
41,0.973770491803279,0.973433389399232,0.975114640842309,0.974273289809828,0.966101694915254,0.954198473282443,1,0.982758620689655,0.984251968503937,0.958333333333333,0.974358974358974,0.968992248062016,0.978723404255319,0.974482309547393,0.973770491803279,0.973841457466671,0.975114640842309,0.958760098705338,48,1,122,0.983606557377049,135,0.955555555555556,0.89,0.0800000000000001,157.865,97.26,0,354,534,538,116,254,240
42,0.980327868852459,0.980937906167456,0.977584204413473,0.979258183912247,0.985294117647059,0.983606557377049,0.973913043478261,0.957142857142857,0.975609756097561,1,0.971014492753623,0.979591836734694,0.986784140969163,0.980434280859791,0.980327868852459,0.980264374425138,0.977584204413473,0.96969144901373,58,1,128,0.984375,119,0.966386554621849,0.87,0.01,157.865,86.495,0,330,542,554,140,246,224
43,0.957377049180328,0.959281210133042,0.945173610135247,0.952175157810913,0.967741935483871,0.966101694915254,0.944,0.869565217391304,0.974358974358974,0.991596638655462,0.916030534351145,0.970212765957447,0.967213114754098,0.957849481486793,0.957377049180328,0.956784790632747,0.945173610135247,0.93398927846036,54,0.981481481481482,122,0.967213114754098,129,0.937984496124031,0.87,-0.0999999999999999,157.88,86.3,0,332,554,540,138,234,238
44,0.977049180327869,0.977974257631418,0.973383134800458,0.975673295255322,0.986486486486487,0.9765625,0.970873786407767,0.935897435897436,0.984251968503937,1,0.960526315789474,0.980392156862745,0.985221674876847,0.977235285530238,0.977049180327869,0.976895160789614,0.973383134800458,0.964825279667858,61,1,137,0.978102189781022,107,0.962616822429907,0.92,0.01,157.29,86.4925,0,314,534,578,156,254,200
45,0.973770491803279,0.976865391826022,0.967520408421159,0.972170443491057,0.985714285714286,0.94488188976378,1,0.92,0.991735537190083,0.990825688073395,0.951724137931035,0.967741935483871,0.995391705069124,0.97462059045898,0.973770491803279,0.973684525871838,0.967520408421159,0.959759878619962,59,1,124,0.967741935483871,122,0.967213114754098,0.97,0.01,156.965,93.53,0,320,546,560,150,242,218
46,0.960655737704918,0.963650003948511,0.935258946711915,0.949242234471922,0.977777777777778,0.920634920634921,0.992537313432836,0.830188679245283,0.983050847457627,0.992537313432836,0.897959183673469,0.950819672131148,0.992537313432836,0.962154566744731,0.960655737704918,0.959962485397276,0.935258946711915,0.936695724366957,37,1,119,0.949579831932773,149,0.959731543624161,1,0.21,157.5,100.29,0,364,552,510,106,236,268
47,0.963934426229508,0.967266046534339,0.959532029152282,0.963383515971657,0.986486486486487,0.972222222222222,0.943089430894309,0.924050632911392,0.954545454545455,1,0.954248366013072,0.963302752293578,0.97071129707113,0.964836888067596,0.963934426229508,0.963775193860909,0.959532029152282,0.945027936622372,64,1,114,0.973684210526316,127,0.937007874015748,0.98,-0.13,157.22,86.175,0,312,568,546,158,220,232
48,0.980327868852459,0.980920711182289,0.975730959601927,0.978318952838134,0.983333333333333,0.976377952755906,0.983050847457627,0.951612903225806,0.984126984126984,0.991452991452991,0.967213114754098,0.980237154150198,0.987234042553191,0.980351599562141,0.980327868852459,0.98027369677509,0.975730959601927,0.969242146662857,50,0.98,119,1,136,0.963235294117647,0.9,0.16,157.875,100.08,0,346,536,544,124,252,234
49,0.977049180327869,0.978219929583231,0.974567353468169,0.976390225559099,0.985507246376812,0.974576271186441,0.974576271186441,0.957746478873239,0.974576271186441,0.991379310344828,0.971428571428571,0.974576271186441,0.982905982905983,0.977120858853707,0.977049180327869,0.977011549470566,0.974567353468169,0.964718908021284,59,1,123,0.975609756097561,123,0.967479674796748,0.96,-0.19,157.54,82.095,0,328,552,546,142,236,232
50,0.954098360655738,0.963347763347763,0.943650793650794,0.95339755566005,1,0.980952380952381,0.909090909090909,0.85,0.980952380952381,1,0.918918918918919,0.980952380952381,0.952380952380952,0.957675111773472,0.954098360655738,0.953440091145009,0.943650793650794,0.92967720685112,64,1,109,0.981651376146789,132,0.909090909090909,0.94,-0.18,157.08,83.325,0,310,578,538,160,210,240
